State,cluster_reduced,cluster_ward_reduced,pca_1,pca_2
Alabama,0,2,-1.91169840057396,-1.274107919749534
Alaska,0,2,-1.2532561503929496,-0.16912712215974696
Arizona,1,1,1.964542063344505,-1.053935379114089
Arkansas,0,2,-2.505027076304202,-0.6111089872099809
California,1,1,5.672388221481275,0.7404425795710498
Colorado,1,1,2.796158235504463,1.303392358896766
Connecticut,1,1,1.1044541767993707,2.008769883933731
Delaware,0,2,0.13878866791504166,0.4230204746402977
District of Columbia,2,3,2.5229696817395295,5.854997546587172
Florida,1,4,2.2752723976516966,-1.815580636623956
Georgia,1,4,0.9276759425513252,-1.1535737912285073
Hawaii,1,1,2.1100454648860327,0.3221443397173319
Idaho,0,2,-1.0088732992420109,-1.003677948370834
Illinois,1,4,1.6049745505169293,-1.64109343941438
Indiana,0,2,-0.3373871801233638,-1.5744480995562993
Iowa,0,2,-1.681046606015441,-0.14561049728620773
Kansas,0,2,-0.970343403408792,0.03737188398108705
Kentucky,0,2,-1.6669578203191575,-1.6819332430873952
Louisiana,0,2,-1.7368861154702098,-1.8008575422934607
Maine,3,0,-2.499767478117358,3.0258465230969445
Maryland,1,1,2.220848808881062,0.3265906922483637
Massachusetts,1,1,2.4139626887609005,3.1560009667115874
Michigan,0,4,0.043031621795188525,-0.825450032428908
Minnesota,0,4,0.47157181127438175,-0.617651615491173
Mississippi,4,0,-3.7097658581102197,-0.7015314937665426
Missouri,0,4,-0.6067111305898507,-0.33348391048571346
Montana,0,2,-1.7946819248339352,-0.1959654055728932
Nebraska,0,2,-1.0611431043803674,-0.08981408231258932
Nevada,1,1,2.0252795295227277,-0.44765977434350784
New Hampshire,0,2,-0.30579939147876045,0.365808260773847
New Jersey,1,1,2.7912718233423837,-0.8352820246201599
New Mexico,0,2,-1.2183292053940769,-0.363886842624141
New York,1,4,1.2399182865290543,-0.05273690260054658
North Carolina,0,4,0.23826225790986888,-1.4595416258561218
North Dakota,4,0,-4.801808321179006,2.0609867340929924
Ohio,0,4,-0.029298478912213058,-1.2580706242795006
Oklahoma,0,2,-0.48517636248582685,-1.6543893581210434
Oregon,1,1,2.1989112413187724,0.6593892986312033
Pennsylvania,0,4,0.5897859912792409,-1.4878961062729985
Rhode Island,0,2,-0.4639416474458108,1.4284643655527822
South Carolina,0,2,-0.8018032627979917,-1.3411760003256108
South Dakota,4,0,-3.339454112220076,0.9009387488741153
Tennessee,0,2,-0.4095457622128724,-1.22828153510531
Texas,1,4,1.7430876014506098,-2.4037191096988204
Utah,1,1,1.9489053015084852,0.5089006201777099
Vermont,3,0,-0.5722875183800666,4.8677480161792674
Virginia,1,4,1.6265266429789658,-0.6962083510033926
Washington,1,1,3.2870004399649875,0.3781134064967814
West Virginia,4,0,-3.9026962421136826,0.0439041858434847
Wisconsin,0,2,-0.43857438142389105,-1.1501814834073925
Wyoming,4,0,-4.443373214980698,2.655149998404237
